addr,house_sale_price,latitude,longitude
10630 PALOS WEST DR,425000.0,41.661569168140886,-87.87690627766982
408 E 88TH ST,235000.0,41.73490125,-87.61400155779722
13927 S EDBROOKE AVE,80000.0,41.7017399,-87.6196771
10901 S AVENUE C,160000.0,41.69710105,-87.52673802500368
9352 S FOREST AVE,51000.0,41.723934799999995,-87.61684444015505
820 GREENWOOD AVE,1100000.0,41.51577279185733,-87.59068553146734
820 GREENWOOD AVE,1005000.0,41.51577279185733,-87.59068553146734
5918 S CAMPBELL AVE,80500.0,41.78593645,-87.68653988235293
8758 S CREGIER AVE,172000.0,41.7352975,-87.58080445692298
8961 W EMERSON ST,230000.0,42.0569767,-87.9829364
8961 W EMERSON ST,150101.0,42.0569767,-87.9829364
13040 S MONITOR AVE,205000.0,41.655118474127605,-87.76408999888571
11408 S EMERALD AVE,159000.0,41.686577400000004,-87.64128972292971
1234 N PARKSIDE AVE,215000.0,41.90316345,-87.76716225075933
11659 S BISHOP ST,75000.0,41.6813683,-87.6575582986039
4115 N SAINT LOUIS AVE,650000.0,41.956172249999995,-87.71515852659859
823 N DUNTON AVE,274900.0,42.083791,-87.9829079
8506 S MANISTEE AVE,76000.0,41.7406539,-87.55782739965562
1287 BLACKHAWK DR,175000.0,41.9018851,-88.2407673
13040 S EXCHANGE AVE,120000.0,41.657957100000004,-87.5522673683303
4140 N WESTERN AVE,380000.0,41.95703035,-87.68886303474167
2755 N SEMINARY AVE,967500.0,41.93213045,-87.65560573705505
5149 S HONORE ST,130000.0,41.79986595,-87.67057949359824
